E1,E2,N,X,Y
11.58,2.2699999809265137,DKUNDAUTO1,699272.6982,3581520.5235
8.02,2.2699999809265137,D29,699263.4901,3581514.2912
-4.16,-0.7200000286102295,D28,699342.7292,3581517.5695
16.3,1.4600000381469727,D27,699386.6256,3581577.8874
-6.34,-8.3100004196167,D26,699404.392,3581557.3376
4.15,-3.319999933242798,D25,699440.3927,3581602.8823
-2.56,-5.320000171661377,D24,699479.1887,3581620.5416
0.08,-7.889999866485596,D23,699523.4878,3581638.5453
2.62,-0.6000000238418579,D22,699591.1004,3581653.6078
-11.01,-9.949999809265137,D21,699629.0824,3581753.7062
-4.19,0.0,D20,699691.2195,3581786.9204
-13.32,0.0,D19,699789.9724,3581785.7248
-10.02,-1.940000057220459,D18,699934.047,3581772.757
6.58,0.0,D17,699900.3469,3581856.6928
9.51,0.800000011920929,D16,699956.7835,3581895.5067
6.58,0.3100000023841858,D15,700009.3283,3581993.966
5.63,0.5600000023841858,D14,700010.2519,3581947.0658
6.36,2.549999952316284,D13,699986.3864,3581912.0169
-10.04,-2.7300000190734863,D12,699995.3789,3581843.6461
-0.93,-5.460000038146973,D11,700010.7574,3581888.9847
-0.53,0.0,D10,700055.4881,3581885.1838
-3.2,-7.039999961853027,D9,700043.7086,3581776.0758
11.48,0.8600000143051147,D8,700132.9077,3581870.3855
11.17,0.0,D7,700101.9766,3581884.8688
3.99,-0.41999998688697815,D6,700073.8616,3581882.477
3.49,0.11999999731779099,D5,700111.363,3581809.7878
3.42,1.149999976158142,D4,700080.0651,3581816.2172
-9.51,-0.10999999940395355,D3,700056.947,3581773.9017
-6.59,-4.119999885559082,D2,700097.9845,3581763.7627
0.09,-0.5899999737739563,D1,700089.771,3581794.5556
